	massa A		
t	x	y	
39,100		
39,200		
39,300		
39,400		
39,500	2,478E-2	0,556
39,600		
39,700		
39,800		
39,900		
40,000	1,200E-2	0,555
40,100		
40,200		
40,300		
40,400		
40,500	-7,167E-3	0,555
40,600		
40,700		
40,800		
40,900		
41,000	-2,750E-2	0,553
41,100		
41,200		
41,300		
41,400		
41,500	-4,260E-2	0,551
41,600		
41,700		
41,800		
41,900		
42,000	-5,131E-2	0,550
42,100		
42,200		
42,300		
42,400		
42,500	-5,770E-2	0,547
42,600		
42,700		
42,800		
42,900		
43,000	-5,247E-2	0,548
43,100		
43,200		
43,300		
43,400		
43,500	-4,086E-2	0,549
43,600		
43,700		
43,800		
43,900		
44,000	-2,575E-2	0,552
44,100		
44,200		
44,300		
44,400		
44,500	-6,006E-3	0,552
44,600		
44,700		
44,800		
44,900		
45,000	1,316E-2	0,553
45,100		
45,200		
45,300		
45,400		
45,500	2,652E-2	0,555
45,600		
45,700		
45,800		
45,900		
46,000	3,581E-2	0,554
46,100		
46,200		
46,300		
46,400		
46,500	3,814E-2	0,555
46,600		
46,700		
46,800		
46,900		
47,000	2,943E-2	0,555
47,100		
47,200		
47,300		
47,400		
47,500	1,781E-2	0,555
47,600		
47,700		
47,800		
47,900		
48,000	-7,783E-4	0,556
48,100		
48,200		
48,300		
48,400		
48,500	-1,878E-2	0,553
48,600		
48,700		
48,800		
48,900		
49,000	-3,563E-2	0,551
49,100		
49,200		
49,300		
49,400		
49,500	-4,957E-2	0,548
49,600		
49,700		
49,800		
49,900		
50,000	-5,596E-2	0,548
50,100		
50,200		
50,300		
50,400		
50,500	-5,305E-2	0,548
50,600		
50,700		
50,800		
50,900		
51,000	-4,666E-2	0,548
51,100		
51,200		
51,300		
51,400		
51,500	-3,214E-2	0,550
51,600		
51,700		
51,800		
51,900		
52,000	-1,298E-2	0,553
52,100		
52,200		
52,300		
52,400		
52,500	5,611E-3	0,554
52,600		
52,700		
52,800		
52,900		
53,000	2,129E-2	0,554
53,100		
53,200		
53,300		
53,400		
53,500	3,233E-2	0,554
53,600		
53,700		
53,800		
53,900		
54,000	3,581E-2	0,553
54,100		
54,200		
54,300		
54,400		
54,500	3,291E-2	0,555
54,600		
54,700		
54,800		
54,900		
55,000	2,187E-2	0,556
55,100		
55,200		
55,300		
55,400		
55,500	7,353E-3	0,555
55,600		
55,700		
55,800		
55,900		
56,000	-1,240E-2	0,554
56,100		
56,200		
56,300		
56,400		
56,500	-3,156E-2	0,553
56,600		
56,700		
56,800		
56,900		
57,000	-4,318E-2	0,552
57,100		
57,200		
57,300		
57,400		
57,500	-5,189E-2	0,549
57,600		
57,700		
57,800		
57,900		
58,000	-5,538E-2	0,546
58,100		
58,200		
58,300		
58,400		
58,500	-4,899E-2	0,547
58,600		
58,700		
58,800		
58,900		
59,000	-3,853E-2	0,551
59,100		
59,200		
59,300		
59,400		
59,500	-2,285E-2	0,551
59,600		
59,700		
59,800		
59,900		
60,000	-4,844E-3	0,552
60,100		
60,200		
60,300		
60,400		
60,500	1,258E-2	0,552
60,600		
60,700		
60,800		
60,900		
61,000	2,768E-2	0,554
61,100		
61,200		
61,300		
61,400		
61,500	3,465E-2	0,553
61,600		
61,700		
61,800		
61,900		
62,000	3,581E-2	0,555
62,100		
62,200		
62,300		
62,400		
62,500	2,594E-2	0,555
62,600		
62,700		
62,800		
62,900		
63,000	1,490E-2	0,555
63,100		
63,200		
63,300		
63,400		
63,500	-2,521E-3	0,555
63,600		
63,700		
63,800		
63,900		
64,000	-2,169E-2	0,554
64,100		
64,200		
64,300		
64,400		
64,500	-3,447E-2	0,552
64,600		
64,700		
64,800		
64,900		
65,000	-4,783E-2	0,549
65,100		
65,200		
65,300		
65,400		
65,500	-5,305E-2	0,549
65,600		
65,700		
65,800		
65,900		
66,000	-5,015E-2	0,548
66,100		
66,200		
66,300		
66,400		
66,500	-4,202E-2	0,549
66,600		
66,700		
66,800		
66,900		
67,000	-3,040E-2	0,551
67,100		
67,200		
67,300		
67,400		
67,500	-1,414E-2	0,553
67,600		
67,700		
67,800		
67,900		
68,000	3,868E-3	0,552
68,100		
68,200		
68,300		
68,400		
68,500	1,839E-2	0,555
68,600		
68,700		
68,800		
68,900		
69,000	3,233E-2	0,553
69,100		
69,200		
69,300		
69,400		
69,500	3,640E-2	0,553
69,600		
69,700		
69,800		
69,900		
70,000	3,117E-2	0,556
70,100		
70,200		
70,300		
70,400		
70,500	1,955E-2	0,555
70,600		
70,700		
70,800		
70,900		
71,000	4,449E-3	0,554
71,100		
71,200		
71,300		
71,400		
71,500	-1,181E-2	0,553
71,600		
71,700		
71,800		
71,900		
72,000	-2,808E-2	0,552
72,100		
72,200		
72,300		
72,400		
72,500	-4,086E-2	0,551
72,600		
72,700		
72,800		
72,900		
73,000	-4,899E-2	0,551
73,100		
73,200		
73,300		
73,400		
73,500	-5,073E-2	0,548
73,600		
73,700		
73,800		
73,900		
74,000	-4,608E-2	0,549
74,100		
74,200		
74,300		
74,400		
74,500	-3,389E-2	0,549
74,600		
74,700		
74,800		
74,900		
75,000	-1,937E-2	0,550
75,100		
75,200		
75,300		
75,400		
75,500	-2,521E-3	0,551
75,600		
75,700		
75,800		
75,900		
76,000	1,258E-2	0,552
76,100		
76,200		
76,300		
76,400		
76,500	2,710E-2	0,553
76,600		
76,700		
76,800		
76,900		
77,000	3,233E-2	0,552
77,100		
77,200		
77,300		
77,400		
77,500	3,349E-2	0,553
