t,x,y
"6,75E+01","-1,41E-02","5,53E-01"
"6,80E+01","3,87E-03","5,52E-01"
"6,85E+01","1,84E-02","5,55E-01"
"6,90E+01","3,23E-02","5,53E-01"
"6,95E+01","3,64E-02","5,53E-01"
"7,00E+01","3,12E-02","5,56E-01"
"7,05E+01","1,96E-02","5,55E-01"
"7,10E+01","4,45E-03","5,54E-01"
"7,15E+01","-1,18E-02","5,53E-01"
"7,20E+01","-2,81E-02","5,52E-01"
"7,25E+01","-4,09E-02","5,51E-01"
"7,30E+01","-4,90E-02","5,51E-01"
"7,35E+01","-5,07E-02","5,48E-01"
"7,40E+01","-4,61E-02","5,49E-01"
"7,45E+01","-3,39E-02","5,49E-01"
"7,50E+01","-1,94E-02","5,50E-01"
"7,55E+01","-2,52E-03","5,51E-01"
"7,60E+01","1,26E-02","5,52E-01"
"7,65E+01","2,71E-02","5,53E-01"
"7,70E+01","3,23E-02","5,52E-01"
"7,75E+01","3,35E-02","5,53E-01"
